mereka melakukannya!	mereka tidak !
Saya mendengar ada pembacaan puisi.	kamu sangat
kamu sangat	menyenangkan ?
WHO ?	putih
Oh jadi sekarang kamu pikir kamu mengenalku?	aku akan sampai di sana
memulai sebuah band?	ayahku tidak akan menyetujui hal itu
saya harus melakukan ini.	melakukan apa?
melakukan apa?	ini .
sibuk	apakah kamu di penjara?
apakah kamu di penjara?	Mungkin .
Mungkin .	tidak kamu tidak
tidak kamu tidak	lalu kenapa kamu bertanya?
lalu kenapa kamu bertanya?	kenapa kamu berbohong?
kat! bangun!	Apa ?
kenapa kau biarkan dia mendekatimu?	WHO ?
Aku pikir kamu berada di atas semua itu	kamu tahu apa yang mereka katakan
kenapa kamu melakukan ini?	aku sudah bilang padamu
aku sudah bilang padamu	kamu tidak peduli jika aku mati
kamu tidak peduli jika aku mati	Tentu saja aku melakukannya
Tentu saja aku melakukannya	Mengapa ?
kamu tidak baik-baik saja.	aku hanya perlu berbaring sebentar
Oke ?	aku baik-baik saja. aku
Saya bilang lakukan apa yang ingin kamu lakukan.	lucu kamu satu-satunya
Permisi ?	Itulah yang kamu inginkan bukan?
kamu menutupi muntahanku.	tujuh tiga puluh ?
jemput kamu hari jumat ya	Oh benar. Jumat.
bagian-bagiannya.	bagian mana ?
Aku pikir kamu sedang menghukumku.	mengapa kita tidak dapat sepakat dalam hal ini?
mengapa kita tidak dapat sepakat dalam hal ini?	karena kamu membuat keputusan untukku.
Kanan .	kamu juga penggemar kat?
kamu juga penggemar kat?	Ya . . .
bagaimana menurutmu?	Oh ya.
Hai. lelah bernafas?	Hai .
Hai .	gambarnya keren. kamu penggemarnya?
gambarnya keren. kamu penggemarnya?	Ya. Kukira begitu.
pernah ke klub skunk?	Ya .
Apa ? !	cukup baik.
Katakanlah	Apa ?
apa yang baru saja terjadi ?	Putrimu pergi ke pesta prom.
Putrimu pergi ke pesta prom.	apakah saya punya sesuatu untuk dikatakan mengenai hal tersebut?
apakah saya punya sesuatu untuk dikatakan mengenai hal tersebut?	sama sekali tidak .
sama sekali tidak .	itulah yang kupikirkan
bersenang-senanglah sayang!	tapi siapa apa?
dalam gelombang mikro.	membuat seseorang menangis hari ini?
dia anak iblis...	kita semua akan menjadi gila...
hidup Anda dan orang lain!	jika mereka setuju untuk mengikuti saya ya.
tidak bisakah kamu tinggal bersama kami sebentar?	saya sedang sibuk di dalam.
dia bilang iya .	syukurlah . .
Aku bisa pergi selama bertahun-tahun.	Saya tahu .
surat pengangkatan saya.	janji untuk apa?
aku ingin pergi bersamamu !	Akan ada saatnya.
TIDAK . . .	TIDAK ?
untuk menyampaikan firman tuhan.	kepala suku mengatakan dia memiliki tuhan.
kepala suku mengatakan dia memiliki tuhan.	...dan juga untuk membawa obat-obatan.
...dan juga untuk membawa obat-obatan.	kepala mengatakan...
kepala suku mengatakan berapa banyak?	ribuan.
ribuan.	Mengapa ?
Kamu datang! Kamu bicara duluan!	sampaikan pada kepala suku kami berterima kasih padanya.
sampaikan pada kepala suku kami berterima kasih padanya.	kepala tahu.
Aku tahu kau akan melakukannya.	Dunia baru menciptakan orang baru.
Dunia baru menciptakan orang baru.	Oh? Jadi kamu orang baru?
Saya kira kita berdua sudah tua sekarang.	Kamu akan selalu lebih tua dariku, ayah.
semuanya! hanya kebohongan!	titik dua ! jangan !
Itulah yang tertulis.	Bagaimana Anda mengaturnya?
kita tidak dapat mengangkat roda tanpa itu.	kudaku tidak bekerja.
apa yang kamu baca ?	dua puluh delapan .
enam hari yang lalu ya.	kamu pasti gila . . . !
kamu pikir aku tidak tahu itu?	kita tersesat!
kita tersesat!	Tanahnya disana. Aku tahu itu!
Katakan hal itu pada mereka!	Anda benar. Biarkan pria yang memutuskan.
dimana saya bisa bertemu pria ini?	langsung .
lalu kenapa ?	karena dia tidak takut padaku.
lalu apa saranmu don sanchez?	dia harus diganti.
tidak. tidak mungkin.	tapi itu...
kamu bawa rokok ?	Oh, tentu saja.
jangan mengatakan apa pun.	kemana kita akan pergi ?
kemana kita akan pergi ?	aku ikut denganmu.
aku ikut denganmu.	ya. ya ikutlah denganku!
apakah kamu punya kopi?	di dapur .
di dapur .	Aku akan membuatkannya untuk kita.
Aku akan membuatkannya untuk kita.	Aku akan mengambil bajuku.
lebih baik kamu berkemas.	Kanan .
apakah dia pacarmu?	Ludwig? Dia gay, apakah kamu cemburu?
Ludwig? Dia gay, apakah kamu cemburu?	Jika aku jadi pacarmu, mungkin aku akan...
apakah kamu baik-baik saja ?	aku masih tak percaya eddie telah tiada.
aku masih tak percaya eddie telah tiada.	saya minta maaf .
jadi kamu tidak pernah menjadi pelacur?	apa yang kamu tanyakan padaku ?
Anda pernah mempertimbangkan untuk menjadi pelacur?	ya, saya mempertimbangkannya.
ya, saya mempertimbangkannya.	apakah anda pernah melakukan trik sebelumnya?
apakah anda pernah melakukan trik sebelumnya?	TIDAK .
TIDAK .	bagaimana kalau di rumah?
bagaimana kalau di rumah?	TIDAK .
Jadi... stasiunnya kosong?	ya. lewat sini.
aku tidak bisa membawamu ke tempatku.	di tempat lain ?
Apakah kamu sudah menikah ?	cerai .
Oh .	Itu keputusanku, bukan keputusannya.
apa yg dipikirkan jika aku membawanya?	Oke. Tapi bukan olahraga air.
apa maksudmu dibersihkan?	Aku membiarkan dia mandi.
siapakah yang menyebabkan dan asal muasalnya?	menurutmu siapa ketua?
apakah jaksa merekam video deposisinya?	ya. dia sudah selesai beberapa waktu lalu.
apakah kamu terkena?	tidak. aku baik-baik saja.
hanya satu orang yang check in?	Ya .
dimana dia ?	mandi
mandi	ada id apa saja?
Kapan ?	besok . saat makan siang.
besok . saat makan siang.	kamu siap?
kopi buatku, aku harus pelan-pelan.	vodka tonik.
Wah, dia tiba-tiba jadi populer sekali.	apa yang kamu katakan ?
TIDAK .	apakah kau katakan padanya bahwa kau melakukannya?
Kamu ingin bicara dengannya sendirian?	Ya .
Ya .	Apa yang akan pacarmu pikirkan tentang itu?
Apa yang akan pacarmu pikirkan tentang itu?	aku tidak punya pacar.
aku tidak punya pacar.	Tepat sekali maksud saya.
Tepat sekali maksud saya.	saya serius di sini.
saya serius di sini.	begitu juga aku.
mengapa tidak ?	sesuatu di rumah?
kamu haus?	saya sedang bertugas.
dua kepala.	lebih baik dari satu.
kamu akan menggunakan jasa pendamping?	Apakah Anda punya ide yang lebih baik?
Apakah Anda punya ide yang lebih baik?	keberatan kalau aku ikut denganmu?
keberatan kalau aku ikut denganmu?	ini tidak ada hubungannya dengan api Anda.
kamu orang Polandia?	Keluargaku adalah .
Keluargaku adalah .	tetaplah di sini .
cantik .	hmmm.
menonton berita?	nah, saya pasti melewatkannya.
Nah, kenapa harus?	aku bahkan tidak menonton tv.
kamu tahu apa itu kan?	tidak apa itu ?
Jadi...siapa Nicky?	apa yang kamu inginkan ?
aku membunuh seseorang yang terkenal.	Kalau begitu, lakukan saja, dasar brengsek.
oke sampai malam ini.	malam ini .
malam ini .	kamu berjanji?
kamu berjanji?	ya. aku janji.
Ya ya. Baguslah.	Oke .
Oke .	Sampai jumpa nanti. Semoga beruntung.
Sampai jumpa nanti. Semoga beruntung.	Terima kasih .
Terima kasih .	jangan terlambat.
itu bagus .	Ya .
Ya .	Baiklah, itu bagus.
Hai sayang.	Hai .
Eddie, kamu baik-baik saja?	ya. sekarang bukan saat yang tepat.
ya. sekarang bukan saat yang tepat.	Baiklah .
Baiklah .	Baiklah ?
Baiklah ?	Baiklah .
Baiklah .	Baiklah .
Baiklah .	Oke .
berapa banyak korban di sana?	ada dua mayat yang ditemukan pada saat ini.
ada dua mayat yang ditemukan pada saat ini.	bisakah kita pergi ke tempat kejadian perkara?
siap ?	Jauhkan mereka dari jalanku.
Jauhkan mereka dari jalanku.	Oke. kamu siap?
Oke. kamu siap?	ya ya. Yesus.
Apakah kamu sudah menikah ?	tidak. apakah kamu melamar?
Anda memasukkan sosis ke dalamnya.	dan apa yang kamu lakukan dengan tulangnya?
dan apa yang kamu lakukan dengan tulangnya?	makanan anjing.
katakan padanya untuk meletakkan senjatanya!	biarkan dia pergi! biarkan dia pergi!!
hai aku sayang.	dimana gadis ceko?
Berapa lama Anda berencana untuk tinggal?	dua minggu.
dua minggu.	Saya ingin berbicara untuk dirinya sendiri, oke?
Saya ingin berbicara untuk dirinya sendiri, oke?	dia tidak berbicara bahasa inggris.
Ya .	Silakan bergabung dengan kami. Maju terus.
Silakan bergabung dengan kami. Maju terus.	Apakah ada masalah ?
liburan dua minggu.	Berapa banyak uang yang kamu bawa?
Berapa banyak uang yang kamu bawa?	saya punya lima ratus dolar.
selanjutnya. bisakah saya melihat dokumen Anda?	ya pak.
kamu mengerti ?	tidak, saya tidak mengerti itu!
aku serius.	Diam. Lihat!
Biarkan saya memotretnya.	duduk !
Oh sial. Aku benci melihat itu!	tidak ingin memfilmkannya?
diam .	apakah itu menyakitkan ?
masuk ke kamar mandi!	apapun yang kita lakukan kita akan menidurinya kan?
berbicara bahasa inggris!	kamu bilang bicara bahasa ceko!
Apa ?	baunya seperti bahan kimia...untuk narkoba.
kamu dengar apa yang aku katakan ?	Saya ingin mendokumentasikan perjalanan saya ke Amerika.
Jangan main-main.	Oke .
aku bisa memberimu pekerjaan.	sebuah pekerjaan?
sebuah pekerjaan?	ya uangnya bagus.
ya uangnya bagus.	sebagai tukang ledeng ?!
sebagai tukang ledeng ?!	mudah untuk dipelajari.
kita menghabiskannya!	ha ha .
robert . . . ?	apa yang kamu lakukan di sini ?
apa yang kamu lakukan di sini ?	Anda mendapat panggilan.
Ya ?	paulie kamu punya anak kan?
baiklah dia . . .	Saya ingin mendengar semua yang dia katakan.
Saya ingin mendengar semua yang dia katakan.	aku mencoba memberitahumu.
aku mencoba memberitahumu.	baiklah. lanjutkan.
hotel murah.	apa yang ingin kamu lakukan ke sini ?
apa yang ingin kamu lakukan ke sini ?	Saya di sini untuk film.
aku akan membawanya.	Tidak mungkin! Dia milikku!
Tidak mungkin! Dia milikku!	Kami akan menangkapnya. Jangan berdebat!
Kami akan menangkapnya. Jangan berdebat!	Dia kerah bajuku!
Dia kerah bajuku!	yah dia membunuh rekanku!
apa itu tadi ?	bukti . pembunuhan.
tidak. silahkan saja.	Terima kasih. Menghargainya.
pemadam kebakaran? petugas pemadam kebakaran tidak membawa senjata.	Oh ya? Tebak lagi.
keluar dari sini !	apa yang sebenarnya terjadi ?
bagaimana itu ?	tidak baik .
bobby bobby ! di mana kau pukul ?!	sakit sekali. aduh Yesus!
sakit sekali. aduh Yesus!	berbaring. tetaplah berbaring bobby.
Ya ?	mungkin Anda bisa menjadi penggantinya.
dia sudah mengetahuinya sedari dulu.	Apa ? ?
mulutnya juga bersih.	membersihkan ?
membersihkan ?	Jangan membuang ingusmu!
Oh ya kenapa?	karena eddie pasti sudah mengurungnya sekarang!
lanjutan	Dia luar biasa.
hal ?	Ya .
kamu bercanda.	TIDAK .
Aku tahu. Itu hampir tak terbayangkan.	tapi tidak sepenuhnya tidak terbayangkan?
itu tampaknya sangat tidak mungkin.	ya, saya pikir begitu.
Sungguh .	Ya .
Baik. tunggu sebentar.	Oke .
Oke .	oke ayo turun.
Sayang sekali tentang frank bukan?	ya itu .
Saya minta maaf atas kesalahpahaman hal.	baiklah, jangan khawatir tentang hal itu.
baiklah, jangan khawatir tentang hal itu.	dan jangan khawatir tentang hal itu.
dan jangan khawatir tentang hal itu.	apakah kepercayaanmu padaku sudah pulih sepenuhnya?
apakah kepercayaanmu padaku sudah pulih sepenuhnya?	ya itu hal.
lanjutan	baiklah apa itu ?
lanjutan	apakah mereka punya penjelasan untuk ini?
ya ayah.	selamat tinggal sekarang sayang.
selamat tinggal sekarang sayang.	selamat tinggal ayah.
dimana nyonya brown?	dia ada di kamar mandi.
Saya mengadakan pesta besok.	ya aku tahu itu sayang.
ya aku tahu itu sayang.	apakah kamu datang ke pestaku?
kapan kamu pulang ?	dalam tiga hari sayangku kuharap.
Oh, terima kasih banyak.	Terima kasih .
Terima kasih .	Bagaimana kabarmu disana?
Oh, itu usia yang sangat menyenangkan.	apa kabar gregor?
itu benar .	jadi begitu .
apakah anda cukup yakin?	ya benar-benar terima kasih banyak.
saya mengerti .	hal mempertahankan kondisi e.v.a. normal.
hal mempertahankan kondisi e.v.a. normal.	oke.
oke.	hal periksa apakah semua pintu airlock aman.
itu benar .	terima kasih banyak hal.
ini berumur tiga tahun.	ya, aku sibuk.
nama ?	hammond .
Ya ?	Saya ingin mengambil mobil saya.
Ya .	vodka .
vodka .	mungkin lebih baik kau punya orang Rusia berkulit hitam.
membayar uang?	ya bodoh. uang.
ya bodoh. uang.	aku tidak pernah membayarnya seumur hidupku.
Saya ingin mengemudi sebentar.	aku belum lelah.
kamu sedang terburu-buru.	ya, aku sudah menunggu tiga tahun.
ya, aku sudah menunggu tiga tahun.	kamu baru saja berhenti menjadi pendeta atau apa?
Kamu akan membantu kami membawanya.	tidak ada kesempatan.
Saya dengar Anda kedatangan tamu.	maukah kalian semua...
Hai, itu dia...	apapun permainan yang saya buat, pembuatnya hanya mendukung saya.
sudah larut mereka tutup. . .	jangan khawatir tentang hal itu.
apakah Anda memperhatikan sesuatu yang lucu tentang bus itu?	ya, ia melewatkan empat pemberhentian terakhir.
Mengapa ?	luther sedang bergerak . . .
kamu tinggallah bersamaku...	mustahil . . .
kita berpisah?	tidak mungkin terpidana.
tidak mungkin terpidana.	kau akan membiarkanku menyimpan sebagiannya?
berapa harganya ?	setengah juta.
setengah juta.	Yesus.
di sana .	pastilah gadisnya billy.
pastilah gadisnya billy.	Ayo .
tadi malam .	apakah kamu bersenang-senang?
Saya tidak memberikan rinciannya.	tadi malam dua malam lalu tiga ?
Sekarang kemana kita akan menghukum?	distrik misi. akan carikan kita orang india.
Hei, ini bekerja cukup baik.	Terima kasih .
Terima kasih .	ingin mencobanya lagi?
luther adalah bagian dari geng itu?	Geng apa yang kamu bicarakan, Jack?
Aku punya banyak hal yang harus aku lindungi.	omong kosong.
siapa yang menarik pelatuknya?	Orang India itu. Saya berjarak sekitar meter.
Orang India itu. Saya berjarak sekitar meter.	kamu tidak bisa menghubunginya?
apa bunyi bel tersebut ?	saya kehilangan mereka, itulah yang terjadi.
saya kehilangan mereka, itulah yang terjadi.	Bagaimana mereka bisa lolos?
dongkrak ?	Ya ?
Omong kosong, birokrasi yang tidak jelas.	Aku mau berangkat. Bagaimana denganmu?
Ah, omong kosong, kamu salah dengar.	tidak terlihat seperti itu.
katakan padaku kalau itu bukan orang yang sama.	Hei... penis tracy.
kamu tidak mungkin...	itulah yang selalu saya katakan.
tiga jam lagi...	dimana dia ?
hei aku tidak percaya.	hai anak kecil.
Halo .	hai ini aku . . .
hai ini aku . . .	Persetan denganmu.
jack tunggu . .	Tunggu sebentar, itu saja!
tempat yang bagus untuk makan siang.	ya salah satu favoritku.
ya salah satu favoritku.	Anda membuat halaman depan.
kau tahu sesuatu Jack, kau sungguh tidak ada harapan.	begitulah cara saya melihatnya juga.
begitulah cara saya melihatnya juga.	Telepon aku nanti.
Telepon aku nanti.	Kamu yakin ingin aku melakukannya?
aku basah semua.	ada apa dengan itu ?
Hei, kamu benar.	Kamu tidak ada harapan.
Kamu tidak ada harapan.	begitulah cara saya melihatnya juga.
pria yang sulit untuk diajak hidup bersama.	bagaimana kamu tahu ?
bagaimana kamu tahu ?	hei dua hari bersamanya sudah cukup.
hei dua hari bersamanya sudah cukup.	Itu bukan omong kosong.
macet .	apa yang kamu inginkan ?
Hai . . .	diam .
Apa kabarmu ?	tidak bisa mengeluh.
tidak bisa mengeluh.	kita punya banyak hal untuk dibicarakan.
kita punya banyak hal untuk dibicarakan.	ya masa lalu.
Biarkan dia pergi.	pertama uangnya.
jangan berikan ini padaku, kita adalah partner.	billy ayo hancurkan itu. . .
kejutan luther.	apa yang kamu inginkan? kukira kamu dikurung
mengembalikannya.	cobalah dan ambillah.
Jangan main-main denganku. Berapa harganya?	lima tagihan.
lima tagihan.	lima. secara kredit.
lima. secara kredit.	ini bukan bisnis kredit.
kamu ingin keluar ?	tidak, di sini tidak apa-apa.
Apa kabarmu?	tidak buruk tidak buruk.
...kita terselamatkan!	aku kacau!
leeloo dalam masalah?	kapan dia tidak dalam masalah?
misi macam apa ?	kita harus menyelamatkan dunia.
kita harus menyelamatkan dunia.	semoga beruntung . .
semoga beruntung . .	Tentu saja .
itu berarti tidak pernah tanpa izin saya.	Itulah yang kupikirkan.
mereka semua seperti ini di keluargamu ayah?	Dia pengecualian.
dia perempuan!	Anda memperhatikan...
siapa kamu ?	Aku membawa gadis itu ingat?
Aku membawa gadis itu ingat?	Gadis itu ?
permisi saya sedang mencari seorang pendeta.	pernikahan ada di satu lantai bawah. selamat.
mereka benar-benar membuatnya...	sempurna .
itu suatu keajaiban! ! !	apa ?
eh...sedikitnya lima puluh.	dalam mimpimu! sampai jumpa malam ini!
Aku baru saja menemukan fotomu.	bagaimana penampilanku?
bagaimana penampilanku?	seperti kotoran.
Ya ?	Hai sobat! Jarimu di sini.
ketika kejahatan kembali maka kita pun akan kembali.	kami akan siap tuan.
Ya ?	apakah kamu sudah bisa menenangkan dirimu?
apakah kamu sudah bisa menenangkan dirimu?	. . .Belum .
Bahasa Indonesia:	menemukannya?
saya minta maaf . .	ini adalah tindakan pengendalian polisi.
kamu tahu cara menerbangkan benda ini?	Ini seperti taksi bukan?
. . .Hai .	apakah ini akan menjadi lebih baik atau apa!
kita bertiga tidak akan pernah cocok di sana!	Oh ya, kamu akan...
itu istriku.	Aku pikir kamu sudah bercerai.
. . .sial!	apa itu ?
trik lama adalah trik terbaik ya?	aku tidak pergi.
aku tidak pergi.	mengapa tidak ?
kamu tidak membuka pesanmu?	aku sudah punya cukup kabar baik untuk hari ini
misi apa ?	untuk menyelamatkan dunia.
untuk menyelamatkan dunia.	dimana saya pernah mendengar lagu ini sebelumnya?
Beri tahu saya . . .	aku mencintaimu . . .
...seperti cinta ...	tepat .
Sekarang terserah padamu, malaikat!	aku sangat lelah . . .
Anda memperhatikan...	Oke, kamu bisa berbalik!
selesai apa ?	belajar bahasa.
belajar bahasa.	yang mana ?
yang mana ?	semua .
kamu mendengarnya?	kornelius . .
kornelius . .	Ya Tuhan !
terima kasih . .	Terima kasih kembali . .
Orang yang cari uang!	sudah lama disini?
hanya ini yang bertahan?	sebenarnya hanya satu sel yang bertahan hidup
sebenarnya hanya satu sel yang bertahan hidup	Sudahkah Anda mengidentifikasinya?
mereka baru saja mendarat di gurun.	berapa banyak waktu yang tersisa ?
pilihan.	menunggu atau bertindak.
apakah itu lebih baik ?	Tuan presiden yang sempurna.
mengerti .	Bagaimana kesepakatan kita?
siapa yang kamu panggil ?	nyonya christian
nyonya christian	Apa ?
aku tidak tahu harus berkata apa	Kamu membunuhku...
Kamu membunuhku...	jangan . . .
saya ingin menelpon. saya tidak bisa.	kamu tidak bisa?
kamu tidak bisa?	kamu tidak mengerti...
...apa yang terjadi ?	lakukan saja amy, kumohon pergilah.
aku mencintaimu .	aku mencintaimu .
Saya tidak menuduh anda...	Baiklah, aku tidak merokok, oke?
Baiklah, aku tidak merokok, oke?	oke aku percaya padamu.
Selamat Datang di rumah .	tahukah kamu betapa aku merindukanmu?
ada yang lebih sulit?	tidak ada yang lebih sulit.
tidak ada yang lebih sulit.	tembakau ?
tembakau ?	apa yang kamu lihat itu yang aku punya tuan.
apa-apaan ini . . . !	aku berjanji padanya untuk mesin.
omong kosong.	aku katakan padamu...
dino ...	tidak ada seorang pun yang tahu apa pun.
apa yang kamu . . . ?	keluarkan senjatamu !
bagus sekali .	dimana para wanitanya?
dimana para wanitanya?	Mereka seharusnya tiba di sini sebentar lagi.
kamu membawa uangnya?	disini .
dimana itu ?	brooklyn. jangan terlambat.
Aku lebih suka kamu tidak melakukannya.	apa masalahnya ?
apa masalahnya ?	saya malu dikamera.
Itu lima ribu dolar.	Apakah itu ?
dan mereka adalah ?	aku ingin melihatmu bekerja.
aku ingin melihatmu bekerja.	Saya akan mempertimbangkannya.
sesama investor.	Hmm .
Kamu sudah mati.	biarkan dia sendiri.
biarkan dia sendiri.	Pergi kau.
Saya pikir Anda berbagi informasi.	kami melakukannya.
panggil saja aku tom.	baiklah tom.
lakukanlah .	jangan berpikir aku tidak akan melakukannya.
cukup mudah bagi Anda.	aku tidak pernah membunuh siapapun.
berhenti bicara.	Anda mendapat angka nol mutlak.
Anda mendapat angka nol mutlak.	Tunjukkan padaku di mana kau menguburkannya.
Mengapa ?	karena kita akan ke sana.
Ya .	Berapa dia membayarmu?
Berapa dia membayarmu?	tiga puluh ribu masing-masing bajingan sialan itu.
mulai mengenali suatu pola?	apa yang kamu inginkan ?
apa yang kamu inginkan ?	siapa mesin?
siapa mesin?	aku tidak tahu . . .
aku tidak tahu . . .	aku ingin namanya.
aku ingin namanya.	Sudah kubilang aku tidak tahu.
jangan bertanya pertanyaan.	Persetan denganmu!
aku akan membunuhmu.	Jangan bosankan aku dengan omong kosong itu.
Jangan bosankan aku dengan omong kosong itu.	Bagaimana kamu menemukanku di sini?
film selebriti.	eddie .
eddie .	ya siapa ini ?
ya siapa ini ?	aku tahu apa yang telah kau lakukan.
aku tahu apa yang telah kau lakukan.	Apa ?
Apa ?	aku tahu apa yang telah kau lakukan.
aku tahu apa yang telah kau lakukan.	siapa ini .
berikan aku filmnya.	Anda akan mendapatkannya saat kami sampai di sana.
Kamu hampir melampaui batasmu.	Persetan denganmu.
kamu tanya aku kenapa?	aku bertanya .
Mereka bukan temanku.	kecuali kamu bersedia melakukan pembunuhan bersama mereka.
jenis apa ?	Anda seorang detektif swasta?
Anda seorang detektif swasta?	itu benar .
Itu adalah kamar presidensial mereka.	Besar .
produk khusus.	kamu sedang belajar.
kamu sedang belajar.	Dimana dia menjualnya?
Berapa usiamu ?	dua puluh lima .
dua puluh lima .	Dimana orang tuamu ?
Dimana orang tuamu ?	aku tidak tahu dimana milikmu?
. . . Halo . . . ?	Bangunlah sayang. Pendidikanmu dimulai malam ini.
Sudah berapa lama anda bekerja disana?	tiga empat tahun.
Saya bukan polisi.	Anda seorang detektif swasta. seperti Shaft.
Anda seorang detektif swasta. seperti Shaft.	tidak cukup.
berapa harganya ?	Berapa penghasilan Anda sekarang?
Berapa penghasilan Anda sekarang?	empat ratus seminggu di luar buku.
kencan besar malam ini?	ya...kurasa begitu.
Halo ?	Nyonya Christian Tom Welles di sini.
Nyonya Christian Tom Welles di sini.	Apa kabar? Apakah ada keberuntungan?
Halo . . . ?	aku disini.
Sudah kubilang aku tidak bisa.	Anda tidak punya pilihan lain.
kita semua seperti itu.	apakah kamu religius?
apakah kamu religius?	TIDAK .
TIDAK .	kamu seharusnya .
dia lari dari apa ?	aku tidak tahu .
Menurut Anda mengapa dia melakukan hal itu?	Itu menjadi terlalu berat baginya.
apa ini ?	Itu adalah miliknya.
Itu adalah miliknya.	barang miliknya?
tidak terlalu bijaksana ya dia?	tidak, Tuan, dia bukan.
Tidak, kamu tidak boleh.	Oke . baiklah .
kamu baik-baik saja?	kristen . . .
alice kamu pikir kamu bisa pergi?	apa yang salah ?
apa yang salah ?	kincaid dan joey meninggal tadi malam.
kincaid dan joey meninggal tadi malam.	Apa ?
Saya yakin mereka ada di sekitar sini.	ya, saya tidak begitu yakin.
Kamu begadang sepanjang malam?	Itu jelas ya?
Itu jelas ya?	lalu kamu melihatnya juga?
kami punya koper yang serasi.	Apa ?
